academic discipline.1	1861	3	3
academic discipline.1	1862	2	2
academic discipline.1	1870	2	2
academic discipline.1	1880	1	1
academic discipline.1	1881	1	1
academic discipline.1	1889	1	1
academic discipline.1	1903	1	1
academic discipline.1	1946	2	2
academic discipline.1	1947	1	1
academic discipline.1	1949	1	1
academic discipline.1	1955	1	1
academic discipline.1	1964	1	1
academic discipline.1	1966	1	1
academic discipline.1	1970	2	2
academic discipline.1	1972	1	1
academic discipline.1	1974	1	1
academic discipline.1	1976	1	1
academic discipline.1	1977	2	2
academic discipline.1	1982	1	1
academic discipline.1	1987	1	1
academic discipline.1	1988	1	1
academic discipline.1	1991	3	3
academic discipline.1	1992	2	2
academic discipline.1	1994	8	8
academic discipline.1	1997	2	2
academic discipline.1	1998	1	1
academic discipline.1	1999	4	4
academic discipline.1	2000	1	1
academic discipline.1	2001	1	1
academic discipline.1	2002	2	2
academic discipline.1	2003	5	5
academic discipline.1	2004	2	2
academic discipline.1	2005	2	2
academic discipline.1	2006	7	7
academic discipline.1	2008	1	1
academic discipline.2	1955	3	3
academic discipline.2	1964	2	2
academic discipline.2	1968	1	1
academic discipline.2	1971	1	1
academic discipline.2	1977	1	1
academic discipline.2	1980	1	1
academic discipline.2	1981	1	1
academic discipline.2	1982	1	1
academic discipline.2	1985	1	1
academic discipline.2	1989	3	3
academic discipline.2	1990	1	1
academic discipline.2	1992	2	2
academic discipline.2	1995	1	1
academic discipline.2	1996	1	1
academic discipline.2	1997	3	3
academic discipline.2	1998	1	1
academic discipline.2	1999	2	2
academic discipline.2	2002	5	5
academic discipline.2	2003	2	2
academic discipline.2	2004	4	4
academic discipline.2	2005	5	5
academic discipline.2	2006	1	1
academic discipline.2	2008	2	2
academic discipline.2_NOUN	1955	3	3
academic discipline.2_NOUN	1964	2	2
academic discipline.2_NOUN	1968	1	1
academic discipline.2_NOUN	1971	1	1
academic discipline.2_NOUN	1977	1	1
academic discipline.2_NOUN	1980	1	1
academic discipline.2_NOUN	1981	1	1
academic discipline.2_NOUN	1982	1	1
academic discipline.2_NOUN	1985	1	1
academic discipline.2_NOUN	1989	3	3
academic discipline.2_NOUN	1990	1	1
academic discipline.2_NOUN	1992	2	2
academic discipline.2_NOUN	1995	1	1
academic discipline.2_NOUN	1996	1	1
academic discipline.2_NOUN	1997	3	3
academic discipline.2_NOUN	1998	1	1
academic discipline.2_NOUN	1999	2	2
academic discipline.2_NOUN	2002	5	5
academic discipline.2_NOUN	2003	2	2
academic discipline.2_NOUN	2004	4	4
academic discipline.2_NOUN	2005	5	5
academic discipline.2_NOUN	2006	1	1
academic discipline.2_NOUN	2008	2	2
active years	1764	1	1
active years	1769	2	2
active years	1770	1	1
active years	1772	1	1
active years	1773	2	2
active years	1774	3	3
active years	1776	1	1
active years	1777	2	2
active years	1782	3	3
active years	1785	2	2
active years	1786	1	1
active years	1787	2	2
active years	1788	2	2
active years	1789	1	1
active years	1793	4	4
active years	1794	1	1
active years	1796	1	1
active years	1798	1	1
active years	1800	4	4
active years	1801	2	2
active years	1802	2	2
active years	1804	3	3
active years	1806	4	4
active years	1807	2	2
active years	1808	4	4
active years	1809	3	3
active years	1810	1	1
active years	1811	1	1
active years	1812	5	5
active years	1813	3	3
active years	1814	6	5
active years	1815	2	2
active years	1816	1	1
active years	1817	11	11
active years	1818	7	7
active years	1819	6	6
active years	1820	6	6
active years	1821	3	3
active years	1822	9	9
active years	1823	6	6
active years	1824	6	6
active years	1825	8	8
active years	1826	4	4
active years	1827	2	2
active years	1828	5	5
active years	1829	7	7
active years	1830	7	6
active years	1831	5	5
active years	1832	9	9
active years	1833	10	10
active years	1834	17	17
active years	1835	18	18
active years	1836	19	19
active years	1837	7	7
active years	1838	9	9
active years	1839	6	6
active years	1840	26	26
active years	1841	11	11
active years	1842	1	1
active years	1843	5	5
active years	1844	15	15
active years	1845	15	15
active years	1846	8	8
active years	1847	9	9
active years	1848	5	5
active years	1849	25	16
active years	1850	14	11
active years	1851	24	24
active years	1852	9	9
active years	1853	28	27
active years	1854	19	19
active years	1855	14	14
active years	1856	56	56
active years	1857	48	48
active years	1858	29	29
active years	1859	21	21
active years	1860	20	20
active years	1861	1	1
active years	1862	10	10
active years	1863	7	7
active years	1864	24	24
active years	1865	25	25
active years	1866	25	23
active years	1867	15	14
active years	1868	11	11
active years	1869	12	12
active years	1870	8	8
active years	1871	11	11
active years	1872	27	27
active years	1873	19	19
active years	1874	18	18
active years	1875	26	24
active years	1876	17	16
active years	1877	51	51
active years	1878	19	19
active years	1879	43	43
active years	1880	44	43
active years	1881	27	27
active years	1882	30	30
active years	1883	25	25
active years	1884	42	39
active years	1885	21	21
active years	1886	35	35
active years	1887	56	53
active years	1888	45	43
active years	1889	25	25
active years	1890	44	44
active years	1891	38	38
active years	1892	38	36
active years	1893	87	74
active years	1894	68	63
active years	1895	24	23
active years	1896	51	47
active years	1897	47	47
active years	1898	48	47
active years	1899	51	41
active years	1900	66	65
active years	1901	46	45
active years	1902	76	61
active years	1903	51	46
active years	1904	95	88
active years	1905	75	73
active years	1906	83	68
active years	1907	169	85
active years	1908	83	73
active years	1909	79	60
active years	1910	83	70
active years	1911	120	99
active years	1912	224	127
active years	1913	229	163
active years	1914	174	96
active years	1915	149	99
active years	1916	193	96
active years	1917	154	84
active years	1918	103	78
active years	1919	251	83
active years	1920	116	93
active years	1921	99	86
active years	1922	307	96
active years	1923	137	85
active years	1924	94	70
active years	1925	99	75
active years	1926	84	72
active years	1927	177	117
active years	1928	131	90
active years	1929	144	91
active years	1930	156	110
active years	1931	88	78
active years	1932	103	85
active years	1933	81	70
active years	1934	129	116
active years	1935	107	97
active years	1936	129	107
active years	1937	115	101
active years	1938	130	110
active years	1939	137	128
active years	1940	136	130
active years	1941	109	101
active years	1942	99	89
active years	1943	128	78
active years	1944	67	63
active years	1945	71	64
active years	1946	111	98
active years	1947	152	116
active years	1948	159	134
active years	1949	130	122
active years	1950	112	94
active years	1951	146	138
active years	1952	154	149
active years	1953	126	121
active years	1954	151	137
active years	1955	171	162
active years	1956	212	151
active years	1957	158	145
active years	1958	161	152
active years	1959	204	186
active years	1960	255	214
active years	1961	243	200
active years	1962	208	191
active years	1963	232	216
active years	1964	217	199
active years	1965	238	214
active years	1966	252	228
active years	1967	304	278
active years	1968	299	259
active years	1969	325	284
active years	1970	271	225
active years	1971	288	270
active years	1972	310	264
active years	1973	276	251
active years	1974	298	247
active years	1975	279	236
active years	1976	291	253
active years	1977	308	267
active years	1978	285	217
active years	1979	253	231
active years	1980	282	262
active years	1981	271	244
active years	1982	314	278
active years	1983	278	246
active years	1984	390	346
active years	1985	276	247
active years	1986	310	280
active years	1987	299	276
active years	1988	325	287
active years	1989	437	349
active years	1990	413	292
active years	1991	349	293
active years	1992	349	319
active years	1993	297	286
active years	1994	364	324
active years	1995	392	357
active years	1996	378	309
active years	1997	340	299
active years	1998	390	354
active years	1999	366	318
active years	2000	372	339
active years	2001	402	363
active years	2002	387	366
active years	2003	595	428
active years	2004	463	416
active years	2005	486	440
active years	2006	492	462
active years	2007	486	449
active years	2008	689	655
Academic discipline	1791	4	2
Academic discipline	1809	6	6
Academic discipline	1840	1	1
Academic discipline	1843	12	12
Academic discipline	1845	2	1
Academic discipline	1849	4	4
Academic discipline	1850	11	11
Academic discipline	1854	2	2
Academic discipline	1855	1	1
Academic discipline	1857	1	1
Academic discipline	1864	1	1
Academic discipline	1866	4	4
Academic discipline	1869	1	1
Academic discipline	1870	3	3
Academic discipline	1874	2	2
Academic discipline	1875	1	1
Academic discipline	1881	2	2
Academic discipline	1883	3	3
Academic discipline	1888	1	1
Academic discipline	1891	8	8
Academic discipline	1892	4	4
Academic discipline	1893	2	2
